,Model Name,Sample Size,Number Of Random Sample Test,Number Of Neighbors,Base Error Rate,Mean Error Rate On Random Samples,STD Of Error Rate On Random Samples,Max Error Rate On Random Samples,Min Error Rate On Random Samples,EUR Mean Error Rate On Random Samples,EUR STD Of Error Rate On Random Samples,EUR Max Error Rate On Random Samples,EUR Min Error Rate On Random Samples,EAS Mean Error Rate On Random Samples,EAS STD Of Error Rate On Random Samples,EAS Max Error Rate On Random Samples,EAS Min Error Rate On Random Samples,AMR Mean Error Rate On Random Samples,AMR STD Of Error Rate On Random Samples,AMR Max Error Rate On Random Samples,AMR Min Error Rate On Random Samples,SAS Mean Error Rate On Random Samples,SAS STD Of Error Rate On Random Samples,SAS Max Error Rate On Random Samples,SAS Min Error Rate On Random Samples,AFR Mean Error Rate On Random Samples,AFR STD Of Error Rate On Random Samples,AFR Max Error Rate On Random Samples,AFR Min Error Rate On Random Samples
25,KNeighborsClassifier,1000,1,6,0.176,0.227,,0.227,0.227,0.07211538461538461,,0.07211538461538461,0.07211538461538461,0.046632124352331605,,0.046632124352331605,0.046632124352331605,0.7384615384615385,,0.7384615384615385,0.7384615384615385,0.49740932642487046,,0.49740932642487046,0.49740932642487046,0.03985507246376811,,0.03985507246376811,0.03985507246376811
26,KNeighborsClassifier,1000,1,6,0.176,0.219,,0.219,0.219,0.04672897196261682,,0.04672897196261682,0.04672897196261682,0.05238095238095238,,0.05238095238095238,0.05238095238095238,0.7410071942446043,,0.7410071942446043,0.7410071942446043,0.44623655913978494,,0.44623655913978494,0.44623655913978494,0.04780876494023904,,0.04780876494023904,0.04780876494023904
27,KNeighborsClassifier,1000,1,6,0.176,0.23,,0.23,0.23,0.04716981132075472,,0.04716981132075472,0.04716981132075472,0.031746031746031744,,0.031746031746031744,0.031746031746031744,0.7028985507246377,,0.7028985507246377,0.7028985507246377,0.4852941176470588,,0.4852941176470588,0.4852941176470588,0.06640625,,0.06640625,0.06640625
28,KNeighborsClassifier,1000,1,6,0.176,0.229,,0.229,0.229,0.05188679245283019,,0.05188679245283019,0.05188679245283019,0.07142857142857142,,0.07142857142857142,0.07142857142857142,0.6428571428571429,,0.6428571428571429,0.6428571428571429,0.5,,0.5,0.5,0.07251908396946564,,0.07251908396946564,0.07251908396946564
29,KNeighborsClassifier,1000,1,6,0.176,0.241,,0.241,0.241,0.09424083769633508,,0.09424083769633508,0.09424083769633508,0.036458333333333336,,0.036458333333333336,0.036458333333333336,0.6967741935483871,,0.6967741935483871,0.6967741935483871,0.48514851485148514,,0.48514851485148514,0.48514851485148514,0.03474903474903475,,0.03474903474903475,0.03474903474903475
30,KNeighborsClassifier,1000,1,6,0.176,0.245,,0.245,0.245,0.07729468599033816,,0.07729468599033816,0.07729468599033816,0.050761421319796954,,0.050761421319796954,0.050761421319796954,0.7194244604316546,,0.7194244604316546,0.7194244604316546,0.4900990099009901,,0.4900990099009901,0.4900990099009901,0.07480314960629922,,0.07480314960629922,0.07480314960629922
31,KNeighborsClassifier,1000,1,6,0.176,0.24,,0.24,0.24,0.06467661691542288,,0.06467661691542288,0.06467661691542288,0.05583756345177665,,0.05583756345177665,0.05583756345177665,0.6470588235294118,,0.6470588235294118,0.6470588235294118,0.5365853658536586,,0.5365853658536586,0.5365853658536586,0.06538461538461539,,0.06538461538461539,0.06538461538461539
32,KNeighborsClassifier,1000,1,6,0.176,0.242,,0.242,0.242,0.046632124352331605,,0.046632124352331605,0.046632124352331605,0.06629834254143646,,0.06629834254143646,0.06629834254143646,0.7142857142857143,,0.7142857142857143,0.7142857142857143,0.5,,0.5,0.5,0.05734767025089606,,0.05734767025089606,0.05734767025089606
33,KNeighborsClassifier,1000,1,6,0.176,0.249,,0.249,0.249,0.07608695652173914,,0.07608695652173914,0.07608695652173914,0.05687203791469194,,0.05687203791469194,0.05687203791469194,0.7050359712230215,,0.7050359712230215,0.7050359712230215,0.5141509433962265,,0.5141509433962265,0.5141509433962265,0.05928853754940711,,0.05928853754940711,0.05928853754940711
34,KNeighborsClassifier,1000,1,6,0.176,0.237,,0.237,0.237,0.08571428571428572,,0.08571428571428572,0.08571428571428572,0.053475935828877004,,0.053475935828877004,0.053475935828877004,0.6742424242424242,,0.6742424242424242,0.6742424242424242,0.5120772946859904,,0.5120772946859904,0.5120772946859904,0.049429657794676805,,0.049429657794676805,0.049429657794676805
